VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE,SOURCE_FILE
20231215,WB,ILP,,0.0,0.0,table_FW_ Please review_ _ Daily Hedging P&L Summary for WB 2023_12_15.csv
20231215,WB,Equity,Delta,-8.0,12.0,table_FW_ Please review_ _ Daily Hedging P&L Summary for WB 2023_12_15.csv
20231215,WB,Equity,Gamma,0.0,0.0,table_FW_ Please review_ _ Daily Hedging P&L Summary for WB 2023_12_15.csv
20231215,WB,Equity,Volatility,0.0,0.0,table_FW_ Please review_ _ Daily Hedging P&L Summary for WB 2023_12_15.csv
20231215,WB,Rates,Dynamic_Rho,-22.0,20.0,table_FW_ Please review_ _ Daily Hedging P&L Summary for WB 2023_12_15.csv
20231215,WB,Credit,Credit,29.0,1.0,table_FW_ Please review_ _ Daily Hedging P&L Summary for WB 2023_12_15.csv
20231215,WB,Underlying_Fund,,-36.0,-5.0,table_FW_ Please review_ _ Daily Hedging P&L Summary for WB 2023_12_15.csv
20231215,WB,Theta_Carry,,-3.0,2.0,table_FW_ Please review_ _ Daily Hedging P&L Summary for WB 2023_12_15.csv
20231215,WB,Other_Unhedged,,-2.0,0.0,table_FW_ Please review_ _ Daily Hedging P&L Summary for WB 2023_12_15.csv
20231215,WB,New_Business_Model_Change,,0.0,0.0,table_FW_ Please review_ _ Daily Hedging P&L Summary for WB 2023_12_15.csv
20231215,WB,Fees,,0.0,2.0,table_FW_ Please review_ _ Daily Hedging P&L Summary for WB 2023_12_15.csv
20240501,WB,Equity,Delta,-14.0,14.0,table_FW_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Interest_Rate,Basis,0.0,1.1,table_FW_ Please review_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Interest_Rate,Convexity_Residual,-0.7,0.4,table_FW_ Please review_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Interest_Rate,Rho,-67.0,67.0,table_FW_ Please review_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Credit,HY_Total,0.3,-0.9,table_FW_ Please review_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Equity,Gamma_Residual,0.7,-0.1,table_FW_ Please review_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Equity,Delta,-14.8,14.3,table_FW_ Please review_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Model_Change,,0.0,0.0,table_FW_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,New_Business,,0.0,0.0,table_FW_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,ILP,,0.0,0.0,table_FW_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Claims,,0.0,0.0,table_FW_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Fees,,0.0,2.0,table_FW_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Other_Unhedged,,-8.0,0.0,table_FW_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Theta_Carry,,-4.0,1.0,table_FW_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Underlying_Fund,,5.0,1.0,table_FW_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Credit,Credit,-6.0,0.0,table_FW_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Rates,Dynamic_Rho,-68.0,69.0,table_FW_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Credit,AGG_Credit,-5.9,0.6,table_FW_ Please review_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Credit,Agg_Risk_Free_Growth,-0.5,0.0,table_FW_ Please review_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Cross_Impact_True_up,,-0.1,0.0,table_FW_ Please review_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Fund_Basis_Fund_Mapping,,4.8,1.0,table_FW_ Please review_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Credit,ILP_Update,0.0,0.0,table_FW_ Please review_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Equity,Volatility,0.0,0.0,table_FW_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Equity,Gamma,0.0,0.0,table_FW_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Other_Inforce,,-9.3,0.0,table_FW_ Please review_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,Passage_Of_Time,,-2.1,2.2,table_FW_ Please review_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240501,WB,New_Business,,0.2,0.0,table_FW_ Please review_ Daily Hedging P&L Summary for WB 2024_05_01.csv
20240716,DBIB,New_Business,,-0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_16.csv
20240716,DBIB,Other_Inforce,,-0.7,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_16.csv
20240716,DBIB,Passage_Of_Time,,-0.2,-0.1,table_Daily Hedging P&L Summary for DBIB 2024_07_16.csv
20240716,DBIB,Fund_Basis_Fund_Mapping,,1.5,1.1,table_Daily Hedging P&L Summary for DBIB 2024_07_16.csv
20240716,DBIB,Credit,Agg_Risk_Free_Growth,-0.1,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_16.csv
20240716,DBIB,Credit,AGG_Credit,0.2,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_16.csv
20240716,DBIB,Credit,HY_Total,0.4,-0.5,table_Daily Hedging P&L Summary for DBIB 2024_07_16.csv
20240716,DBIB,Interest_Rate,Basis,0.0,-1.0,table_Daily Hedging P&L Summary for DBIB 2024_07_16.csv
20240716,DBIB,Interest_Rate,Convexity_Residual,-0.8,0.5,table_Daily Hedging P&L Summary for DBIB 2024_07_16.csv
20240716,DBIB,Interest_Rate,Rho,-40.4,40.6,table_Daily Hedging P&L Summary for DBIB 2024_07_16.csv
20240716,DBIB,Equity,Gamma_Residual,0.3,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_16.csv
20240716,DBIB,Credit,ILP_Update,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_16.csv
20240716,WB,Interest_Rate,Basis,0.0,-1.3,table_Daily Hedging P&L Summary for WB 2024_07_16.csv
20240716,DBIB,Cross_Impact_True_up,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_16.csv
20240716,WB,Cross_Impact_True_up,,-0.4,0.0,table_Daily Hedging P&L Summary for WB 2024_07_16.csv
20240716,WB,New_Business,,0.1,0.0,table_Daily Hedging P&L Summary for WB 2024_07_16.csv
20240716,WB,Other_Inforce,,-2.4,0.0,table_Daily Hedging P&L Summary for WB 2024_07_16.csv
20240716,WB,Passage_Of_Time,,-2.1,2.2,table_Daily Hedging P&L Summary for WB 2024_07_16.csv
20240716,WB,Fund_Basis_Fund_Mapping,,10.7,2.8,table_Daily Hedging P&L Summary for WB 2024_07_16.csv
20240716,WB,Credit,ILP_Update,0.0,0.0,table_Daily Hedging P&L Summary for WB 2024_07_16.csv
20240716,WB,Credit,Agg_Risk_Free_Growth,-0.4,0.0,table_Daily Hedging P&L Summary for WB 2024_07_16.csv
20240716,WB,Credit,AGG_Credit,0.4,0.0,table_Daily Hedging P&L Summary for WB 2024_07_16.csv
20240716,WB,Credit,HY_Total,1.2,-1.4,table_Daily Hedging P&L Summary for WB 2024_07_16.csv
20240716,WB,Interest_Rate,Convexity_Residual,-0.8,0.7,table_Daily Hedging P&L Summary for WB 2024_07_16.csv
20240716,WB,Interest_Rate,Rho,-69.5,69.6,table_Daily Hedging P&L Summary for WB 2024_07_16.csv
20240716,DBIB,Equity,Delta,10.2,-10.3,table_Daily Hedging P&L Summary for DBIB 2024_07_16.csv
20240716,WB,Equity,Gamma_Residual,0.6,0.0,table_Daily Hedging P&L Summary for WB 2024_07_16.csv
20240716,WB,Equity,Delta,24.2,-26.3,table_Daily Hedging P&L Summary for WB 2024_07_16.csv
20240717,DBIB,Fund_Basis_Fund_Mapping,,-7.9,4.8,table_Daily Hedging P&L Summary for DBIB 2024_07_17.csv
20240717,DBIB,Credit,Agg_Risk_Free_Growth,-0.1,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_17.csv
20240717,DBIB,Credit,AGG_Credit,-0.2,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_17.csv
20240717,DBIB,Credit,HY_Total,-0.0,0.1,table_Daily Hedging P&L Summary for DBIB 2024_07_17.csv
20240717,DBIB,Interest_Rate,Basis,0.0,0.4,table_Daily Hedging P&L Summary for DBIB 2024_07_17.csv
20240717,DBIB,Interest_Rate,Convexity_Residual,0.0,-0.2,table_Daily Hedging P&L Summary for DBIB 2024_07_17.csv
20240717,DBIB,Interest_Rate,Rho,-8.2,8.1,table_Daily Hedging P&L Summary for DBIB 2024_07_17.csv
20240717,DBIB,Equity,Gamma_Residual,0.2,0.1,table_Daily Hedging P&L Summary for DBIB 2024_07_17.csv
20240717,DBIB,Equity,Delta,-13.5,13.5,table_Daily Hedging P&L Summary for DBIB 2024_07_17.csv
20240717,DBIB,Other_Inforce,,-0.5,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_17.csv
20240717,DBIB,New_Business,,-0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_17.csv
20240717,DBIB,Cross_Impact_True_up,,0.3,-0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_17.csv
20240717,DBIB,Credit,ILP_Update,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_17.csv
20240717,WB,Fund_Basis_Fund_Mapping,,-25.0,12.1,table_Daily Hedging P&L Summary for WB 2024_07_17.csv
20240717,WB,Passage_Of_Time,,-2.1,2.2,table_Daily Hedging P&L Summary for WB 2024_07_17.csv
20240717,DBIB,Passage_Of_Time,,-0.2,-0.1,table_Daily Hedging P&L Summary for DBIB 2024_07_17.csv
20240717,WB,New_Business,,0.1,0.0,table_Daily Hedging P&L Summary for WB 2024_07_17.csv
20240717,WB,Cross_Impact_True_up,,0.9,0.0,table_Daily Hedging P&L Summary for WB 2024_07_17.csv
20240717,WB,Equity,Delta,-42.2,43.8,table_Daily Hedging P&L Summary for WB 2024_07_17.csv
20240717,WB,Equity,Gamma_Residual,0.4,0.6,table_Daily Hedging P&L Summary for WB 2024_07_17.csv
20240717,WB,Interest_Rate,Rho,-13.3,13.3,table_Daily Hedging P&L Summary for WB 2024_07_17.csv
20240717,WB,Interest_Rate,Convexity_Residual,0.2,-0.2,table_Daily Hedging P&L Summary for WB 2024_07_17.csv
20240717,WB,Interest_Rate,Basis,0.0,0.5,table_Daily Hedging P&L Summary for WB 2024_07_17.csv
20240717,WB,Credit,HY_Total,0.0,0.3,table_Daily Hedging P&L Summary for WB 2024_07_17.csv
20240717,WB,Credit,AGG_Credit,-1.6,0.1,table_Daily Hedging P&L Summary for WB 2024_07_17.csv
20240717,WB,Credit,Agg_Risk_Free_Growth,-0.5,0.0,table_Daily Hedging P&L Summary for WB 2024_07_17.csv
20240717,WB,Credit,ILP_Update,0.0,0.0,table_Daily Hedging P&L Summary for WB 2024_07_17.csv
20240717,WB,Other_Inforce,,0.8,0.0,table_Daily Hedging P&L Summary for WB 2024_07_17.csv
20240718,DBIB,Cross_Impact_True_up,,-0.6,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_18.csv
20240718,DBIB,Equity,Delta,-12.1,11.9,table_Daily Hedging P&L Summary for DBIB 2024_07_18.csv
20240718,DBIB,Equity,Gamma_Residual,0.3,-0.2,table_Daily Hedging P&L Summary for DBIB 2024_07_18.csv
20240718,DBIB,Interest_Rate,Rho,26.2,-25.9,table_Daily Hedging P&L Summary for DBIB 2024_07_18.csv
20240718,DBIB,Interest_Rate,Convexity_Residual,-0.2,0.1,table_Daily Hedging P&L Summary for DBIB 2024_07_18.csv
20240718,DBIB,Interest_Rate,Basis,0.0,-0.4,table_Daily Hedging P&L Summary for DBIB 2024_07_18.csv
20240718,DBIB,Credit,HY_Total,0.0,0.1,table_Daily Hedging P&L Summary for DBIB 2024_07_18.csv
20240718,DBIB,Credit,AGG_Credit,-0.1,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_18.csv
20240718,DBIB,Credit,Agg_Risk_Free_Growth,-0.1,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_18.csv
20240718,DBIB,Other_Inforce,,-0.3,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_18.csv
20240718,DBIB,Fund_Basis_Fund_Mapping,,-0.3,-0.7,table_Daily Hedging P&L Summary for DBIB 2024_07_18.csv
20240718,DBIB,Passage_Of_Time,,-0.1,-0.2,table_Daily Hedging P&L Summary for DBIB 2024_07_18.csv
20240718,DBIB,New_Business,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_18.csv
20240718,DBIB,Credit,ILP_Update,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_18.csv
20240718,WB,New_Business,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2024_07_18.csv
20240718,WB,Credit,HY_Total,-0.2,0.3,table_Daily Hedging P&L Summary for WB 2024_07_18.csv
20240718,WB,Other_Inforce,,-0.7,0.0,table_Daily Hedging P&L Summary for WB 2024_07_18.csv
20240718,WB,Passage_Of_Time,,-2.1,2.1,table_Daily Hedging P&L Summary for WB 2024_07_18.csv
20240718,WB,Fund_Basis_Fund_Mapping,,-2.7,-2.1,table_Daily Hedging P&L Summary for WB 2024_07_18.csv
20240718,WB,Credit,ILP_Update,0.0,0.0,table_Daily Hedging P&L Summary for WB 2024_07_18.csv
20240718,WB,Credit,Agg_Risk_Free_Growth,-0.5,0.0,table_Daily Hedging P&L Summary for WB 2024_07_18.csv
20240718,WB,Credit,AGG_Credit,-0.2,0.0,table_Daily Hedging P&L Summary for WB 2024_07_18.csv
20240718,WB,Cross_Impact_True_up,,0.2,0.0,table_Daily Hedging P&L Summary for WB 2024_07_18.csv
20240718,WB,Interest_Rate,Convexity_Residual,-0.1,0.0,table_Daily Hedging P&L Summary for WB 2024_07_18.csv
20240718,WB,Interest_Rate,Rho,44.1,-43.9,table_Daily Hedging P&L Summary for WB 2024_07_18.csv
20240718,WB,Equity,Gamma_Residual,0.4,0.4,table_Daily Hedging P&L Summary for WB 2024_07_18.csv
20240718,WB,Equity,Delta,-39.6,39.8,table_Daily Hedging P&L Summary for WB 2024_07_18.csv
20240718,WB,Interest_Rate,Basis,0.0,-0.4,table_Daily Hedging P&L Summary for WB 2024_07_18.csv
20240719,WB,Equity,Gamma_Residual,0.5,0.2,table_Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Other_Inforce,,-1.4,0.0,table_RE_ Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Passage_Of_Time,,-2.1,2.1,table_RE_ Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,New_Business,,0.3,0.0,table_RE_ Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Fund_Basis_Fund_Mapping,,3.8,3.3,table_RE_ Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Credit,ILP_Update,0.0,0.0,table_RE_ Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Credit,Agg_Risk_Free_Growth,-0.5,0.0,table_RE_ Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Credit,AGG_Credit,1.9,0.1,table_RE_ Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Credit,HY_Total,-0.5,0.8,table_RE_ Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Interest_Rate,Basis,0.0,0.3,table_RE_ Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Interest_Rate,Convexity_Residual,-0.2,0.1,table_RE_ Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Interest_Rate,Rho,40.5,-40.4,table_RE_ Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Interest_Rate,Rho,40.5,-40.4,table_Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Equity,Gamma_Residual,0.5,0.2,table_RE_ Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,New_Business,,0.3,0.0,table_Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Other_Inforce,,-1.4,0.0,table_Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Passage_Of_Time,,-2.1,2.1,table_Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Fund_Basis_Fund_Mapping,,3.8,3.3,table_Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Credit,ILP_Update,0.0,0.0,table_Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Credit,Agg_Risk_Free_Growth,-0.5,0.0,table_Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Equity,Delta,-36.5,37.4,table_Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Credit,AGG_Credit,1.9,0.1,table_Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Credit,HY_Total,-0.5,0.8,table_Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Interest_Rate,Basis,0.0,0.3,table_Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Interest_Rate,Convexity_Residual,-0.2,0.1,table_Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Cross_Impact_True_up,,-1.0,0.0,table_Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Equity,Delta,-36.5,37.4,table_RE_ Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,WB,Cross_Impact_True_up,,-1.0,0.0,table_RE_ Daily Hedging P&L Summary for WB 2024_07_19.csv
20240719,DBIB,Credit,HY_Total,-0.2,0.3,table_Daily Hedging P&L Summary for DBIB 2024_07_19.csv
20240719,DBIB,Equity,Gamma_Residual,0.3,0.1,table_Daily Hedging P&L Summary for DBIB 2024_07_19.csv
20240719,DBIB,Interest_Rate,Rho,24.3,-24.3,table_Daily Hedging P&L Summary for DBIB 2024_07_19.csv
20240719,DBIB,Interest_Rate,Convexity_Residual,-0.1,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_19.csv
20240719,DBIB,Interest_Rate,Basis,0.0,0.2,table_Daily Hedging P&L Summary for DBIB 2024_07_19.csv
20240719,DBIB,Credit,AGG_Credit,0.1,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_19.csv
20240719,DBIB,Credit,Agg_Risk_Free_Growth,-0.1,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_19.csv
20240719,DBIB,Credit,ILP_Update,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_19.csv
20240719,DBIB,Fund_Basis_Fund_Mapping,,0.7,0.6,table_Daily Hedging P&L Summary for DBIB 2024_07_19.csv
20240719,DBIB,Equity,Delta,-10.8,11.2,table_Daily Hedging P&L Summary for DBIB 2024_07_19.csv
20240719,DBIB,Passage_Of_Time,,-0.1,-0.2,table_Daily Hedging P&L Summary for DBIB 2024_07_19.csv
20240719,DBIB,New_Business,,-0.1,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_19.csv
20240719,DBIB,Cross_Impact_True_up,,0.5,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_19.csv
20240719,DBIB,Other_Inforce,,-0.4,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_19.csv
20240722,WB,Interest_Rate,Convexity_Residual,0.0,-1.3,table_Daily Hedging P&L Summary for WB 2024_07_22.csv
20240722,WB,Interest_Rate,Basis,0.0,1.1,table_Daily Hedging P&L Summary for WB 2024_07_22.csv
20240722,WB,Credit,HY_Total,0.4,-0.9,table_Daily Hedging P&L Summary for WB 2024_07_22.csv
20240722,WB,Interest_Rate,Rho,23.0,-22.7,table_Daily Hedging P&L Summary for WB 2024_07_22.csv
20240722,WB,Credit,AGG_Credit,3.0,-0.4,table_Daily Hedging P&L Summary for WB 2024_07_22.csv
20240722,WB,Credit,Agg_Risk_Free_Growth,-1.4,0.0,table_Daily Hedging P&L Summary for WB 2024_07_22.csv
20240722,WB,Credit,ILP_Update,0.0,0.0,table_Daily Hedging P&L Summary for WB 2024_07_22.csv
20240722,WB,Fund_Basis_Fund_Mapping,,8.8,-0.7,table_Daily Hedging P&L Summary for WB 2024_07_22.csv
20240722,WB,Equity,Gamma_Residual,0.4,-0.5,table_Daily Hedging P&L Summary for WB 2024_07_22.csv
20240722,DBIB,Passage_Of_Time,,-0.7,-0.2,table_Daily Hedging P&L Summary for DBIB 2024_07_22.csv
20240722,WB,Passage_Of_Time,,-2.1,2.2,table_Daily Hedging P&L Summary for WB 2024_07_22.csv
20240722,DBIB,Equity,Delta,12.9,-13.5,table_Daily Hedging P&L Summary for DBIB 2024_07_22.csv
20240722,DBIB,Equity,Gamma_Residual,0.1,-0.2,table_Daily Hedging P&L Summary for DBIB 2024_07_22.csv
20240722,DBIB,Interest_Rate,Rho,13.5,-13.5,table_Daily Hedging P&L Summary for DBIB 2024_07_22.csv
20240722,DBIB,Interest_Rate,Convexity_Residual,0.0,-0.6,table_Daily Hedging P&L Summary for DBIB 2024_07_22.csv
20240722,DBIB,Interest_Rate,Basis,0.0,0.4,table_Daily Hedging P&L Summary for DBIB 2024_07_22.csv
20240722,DBIB,Credit,HY_Total,0.1,-0.3,table_Daily Hedging P&L Summary for DBIB 2024_07_22.csv
20240722,DBIB,Credit,AGG_Credit,0.3,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_22.csv
20240722,WB,Equity,Delta,40.2,-43.3,table_Daily Hedging P&L Summary for WB 2024_07_22.csv
20240722,DBIB,Credit,Agg_Risk_Free_Growth,-0.2,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_22.csv
20240722,WB,Other_Inforce,,3.3,0.0,table_Daily Hedging P&L Summary for WB 2024_07_22.csv
20240722,WB,Cross_Impact_True_up,,0.5,0.0,table_Daily Hedging P&L Summary for WB 2024_07_22.csv
20240722,DBIB,Other_Inforce,,0.6,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_22.csv
20240722,DBIB,New_Business,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_22.csv
20240722,DBIB,Cross_Impact_True_up,,0.4,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_22.csv
20240722,WB,New_Business,,0.3,0.0,table_Daily Hedging P&L Summary for WB 2024_07_22.csv
20240722,DBIB,Fund_Basis_Fund_Mapping,,2.9,-1.3,table_Daily Hedging P&L Summary for DBIB 2024_07_22.csv
20240722,DBIB,ILP_Update,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2024_07_22.csv
20240723,WB,Credit,AGG_Credit,-3.5,0.3,table_Daily Hedging P&L Summary for WB 2024_07_23.csv
20240723,WB,Equity,Delta,-2.6,3.8,table_Daily Hedging P&L Summary for WB 2024_07_23.csv
20240723,WB,Equity,Gamma_Residual,0.7,-0.1,table_Daily Hedging P&L Summary for WB 2024_07_23.csv
20240723,WB,Interest_Rate,Rho,-10.8,11.0,table_Daily Hedging P&L Summary for WB 2024_07_23.csv
20240723,DBIB,Cross_Impact_True_up,,-0.6,0.0,table_FW_ Daily Hedging P&L Summary for DBIB 2024_07_23.csv
