VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240802,DBIB,Equity,Delta,-31.929116,31.712708
20240802,DBIB,Equity,Gamma_Residual,-0.638657,0.564951
20240802,DBIB,Interest_Rate,Rho,-89.441066,89.312892
20240802,DBIB,Interest_Rate,Convexity_Residual,-1.944561,2.352643
20240802,DBIB,Interest_Rate,Basis,0.0,-0.185735
20240802,DBIB,Credit,HY_Total,-0.481242,0.607009
20240802,DBIB,Credit,AGG_Credit,0.311655,0.0
20240802,DBIB,Credit,Agg_Risk_Free_Growth,-0.066132,0.0
20240802,DBIB,Credit,ILP_Update,0.0,0.0
20240802,DBIB,Fund_Basis_Fund_Mapping,,-2.119845,1.043275
20240802,DBIB,Passage_Of_Time,,-0.175926,-0.139459
20240802,DBIB,Other_Inforce,,1.744111,0.0
20240802,DBIB,New_Business,,-0.034875,0.0
20240802,DBIB,Cross_Impact_True_up,,-0.270225,3e-06
