VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240801,WB,Equity,Delta,-74.140734,76.772278
20240801,WB,Equity,Gamma_Residual,-0.087003,0.644496
20240801,WB,Interest_Rate,Rho,-97.637732,98.37649
20240801,WB,Interest_Rate,Convexity_Residual,-1.521459,1.751976
20240801,WB,Interest_Rate,Basis,0.0,0.623927
20240801,WB,Credit,HY_Total,-0.0934,0.45709
20240801,WB,Credit,AGG_Credit,-12.091487,1.057303
20240801,WB,Credit,Agg_Risk_Free_Growth,-0.462179,0.0
20240801,WB,Credit,ILP_Update,0.0,0.0
20240801,WB,Fund_Basis_Fund_Mapping,,-7.894588,2.352958
20240801,WB,Passage_Of_Time,,-2.133665,2.159381
20240801,WB,Other_Inforce,,-0.184119,0.0
20240801,WB,New_Business,,-0.004128,0.0
20240801,WB,Cross_Impact_True_up,,-1.518004,5e-06
20240801,DBIB,Equity,Delta,-23.026692,23.170399
20240801,DBIB,Equity,Gamma_Residual,-0.078459,0.326453
20240801,DBIB,Interest_Rate,Rho,-59.829001,59.386093
20240801,DBIB,Interest_Rate,Convexity_Residual,-0.950368,1.135279
20240801,DBIB,Interest_Rate,Basis,0.0,0.255706
20240801,DBIB,Credit,HY_Total,-0.029632,0.15357
20240801,DBIB,Credit,AGG_Credit,-1.299129,0.0
20240801,DBIB,Credit,Agg_Risk_Free_Growth,-0.065195,0.0
20240801,DBIB,Credit,ILP_Update,0.0,0.0
20240801,DBIB,Fund_Basis_Fund_Mapping,,-3.027826,3.291263
20240801,DBIB,Passage_Of_Time,,-0.150487,-0.150669
20240801,DBIB,Other_Inforce,,0.250402,0.0
20240801,DBIB,New_Business,,-0.225338,0.0
20240801,DBIB,Cross_Impact_True_up,,-0.186194,0.0
