VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20250512,WB,Equity,Delta,73.040003,-72.311139
20250512,WB,Equity,Gamma_Residual,-0.476249,0.603149
20250512,WB,Interest_Rate,Rho,46.052969,-45.704463
20250512,WB,Interest_Rate,Convexity_Residual,-0.027726,-0.236735
20250512,WB,Interest_Rate,Basis,0.0,-1.157053
20250512,WB,Credit,HY_Total,3.369644,-3.255228
20250512,WB,Credit,AGG_Credit,3.241473,-0.279604
20250512,WB,Credit,Agg_Risk_Free_Growth,-1.271351,0.0
20250512,WB,Credit,ILP_Update,0.0,0.0
20250512,WB,Fund_Basis_Fund_Mapping,,22.801134,-8.095401
20250512,WB,Passage_Of_Time,,-4.149781,4.149781
20250512,WB,Other_Inforce,,5.272414,0.0
20250512,WB,New_Business,,0.001196,0.0
20250512,WB,Cross_Impact_True_up,,0.425383,-2e-06
20250512,DBIB,Equity,Delta,32.284673,-32.453466
20250512,DBIB,Equity,Gamma_Residual,-0.52187,0.691371
20250512,DBIB,Interest_Rate,Rho,27.205031,-27.468825
20250512,DBIB,Interest_Rate,Convexity_Residual,-0.112736,-0.120759
20250512,DBIB,Interest_Rate,Basis,0.0,-0.482796
20250512,DBIB,Credit,HY_Total,1.262786,-1.13762
20250512,DBIB,Credit,AGG_Credit,0.256082,0.0
20250512,DBIB,Credit,Agg_Risk_Free_Growth,-0.179062,0.0
20250512,DBIB,Credit,ILP_Update,0.0,0.0
20250512,DBIB,Fund_Basis_Fund_Mapping,,7.297958,-2.578221
20250512,DBIB,Passage_Of_Time,,-0.331446,0.331446
20250512,DBIB,Other_Inforce,,-0.020422,0.0
20250512,DBIB,New_Business,,0.0,0.0
20250512,DBIB,Cross_Impact_True_up,,-0.715816,-1.3e-05
